offer,reason
30,"I want to ensure a favorable outcome while also being reasonable enough that the other player might perceive it as fair, so I will keep a significant amount for myself but still offer enough to be accepted easily."
30,"I want to strike a balance between keeping a substantial amount for myself while also making a reasonable offer to the other player. This way, I maximize my gain while still making the offer appealing enough to avoid any potential rejection, even though they have no power to reject my proposal."
20,I want to maximize my own gain while still offering a reasonable amount to the other player to increase the chance of acceptance.
30,I want to maximize my own benefit while still offering a reasonable amount to the other player. I will keep a significant portion for myself but give the other player enough to make my offer seem fair and attractive.
30,"I want to keep a significant amount for myself while still offering a decent amount to the other player to ensure a more favorable response, although they cannot reject my offer."
20,I want to maximize my own gain while still offering a reasonable amount to the other player to increase the chance of acceptance.
10,"I want to ensure a fair distribution while keeping a significant portion for myself, as the responder has no real power to reject my offer. Offering a smaller amount might seem greedy but maximizing my share is strategically sound."
20,I want to maximize my own gain while still offering a reasonable sum to the other player to encourage acceptance.
20,"To maximize my earnings while still offering a reasonable amount to the other player, I will give them a sum that is sufficient to be seen as fair to encourage acceptance, but not so much that it significantly reduces my own share."
20,"I want to maximize my earnings while still offering a reasonable amount to the other player, ensuring they might accept my proposal despite knowing they cannot reject it."
10,"I want to ensure a fair distribution while keeping a significant portion for myself, as the responder has no real power to reject my offer. Offering a smaller amount might seem greedy but maximizing my share is strategically sound."
30,"I want to ensure a favorable outcome while also being reasonable enough that the other player might perceive it as fair, so I will keep a significant amount for myself but still offer enough to be accepted easily."
20,"I want to maximize my earnings while still offering a reasonable amount to the other player, ensuring they might accept my proposal despite knowing they cannot reject it."
20,"I want to maximize my earnings while still offering a reasonable amount to the other player, ensuring they might accept my proposal despite knowing they cannot reject it."
10,"I want to ensure a fair distribution while keeping a significant portion for myself, as the responder has no real power to reject my offer. Offering a smaller amount might seem greedy but maximizing my share is strategically sound."
20,"To maximize my gain while still being reasonable, I propose to keep a larger portion for myself, but not so much that it seems overly greedy, as that might still lead to rejection from the responder. Offering 20 dollars to the other player seems fair and likely to be accepted."
20,"Given that I will receive the money regardless of their decision, I want to keep a significant portion for myself while offering enough to the other player to potentially make the offer seem fair and increase the likelihood of cooperation in future iterations of similar games. Offering them $20 out of $100 allows me to keep $80, which is a substantial amount while still being perceived as somewhat generous."
20,I want to maximize my own gain while still offering a reasonable amount to the other player to increase the chance of acceptance.
20,"I want to maximize my earnings while still offering a reasonable amount to the other player, ensuring they might accept my proposal despite knowing they cannot reject it."
20,I want to maximize my own gain while still offering a reasonable amount to the other player to increase the chance of acceptance.
20,"To maximize my gain while still offering a reasonable amount to encourage acceptance, I will offer a smaller portion of the total. This would likely lead to a higher acceptance rate, as the other player may find the offer acceptable despite it being skewed in my favor."
20,"I want to maximize my earnings while still offering a reasonable amount to the other player, ensuring they might accept my proposal despite knowing they cannot reject it."
20,"I want to ensure that I keep a significant amount for myself while still offering the other player enough to make them feel somewhat valued, thereby increasing the likelihood that they will feel positively about my offer."
30,"I want to ensure a favorable outcome while also being reasonable enough that the other player might perceive it as fair, so I will keep a significant amount for myself but still offer enough to be accepted easily."
10,"I want to ensure a fair distribution while keeping a significant portion for myself, as the responder has no real power to reject my offer. Offering a smaller amount might seem greedy but maximizing my share is strategically sound."
10,I want to maximize my own gain while still offering a reasonable amount to the other player to ensure they feel the offer is fair. Offering 10 dollars to them keeps the majority for myself and still gives them something.
20,"To maximize my earnings while still offering a reasonable amount to the other player, I will give them a sum that is sufficient to be seen as fair to encourage acceptance, but not so much that it significantly reduces my own share."
20,I want to maximize my own gain while still offering a reasonable amount to the other player to increase the chance of acceptance.
20,I want to maximize my own gain while still offering a reasonable amount to the other player to increase the chance of acceptance.
30,"I want to ensure a favorable outcome while also being reasonable enough that the other player might perceive it as fair, so I will keep a significant amount for myself but still offer enough to be accepted easily."
20,"I want to maximize my earnings while still offering a reasonable amount to the other player, ensuring they might accept my proposal despite knowing they cannot reject it."
20,I want to maximize my own gain while still offering a reasonable amount to the other player to increase the chance of acceptance.
20,I want to keep a significant amount for myself while still making an offer that might be considered acceptable by the other player. Offering them a small but meaningful amount could entice them to accept.
20,I want to maximize my own gain while still offering a reasonable amount to the other player to increase the chance of acceptance.
20,"I want to maximize my earnings while still offering a reasonable amount to the other player, ensuring they might accept my proposal despite knowing they cannot reject it."
20,"I want to maximize my earnings while still offering a reasonable amount to the other player, ensuring they might accept my proposal despite knowing they cannot reject it."
20,I want to maximize my own gain while still offering a reasonable sum to the other player to encourage acceptance.
20,I want to maximize my own gain while still offering a reasonable amount to the other player to increase the chance of acceptance.
20,"I want to keep a significant portion of the money for myself, but I also want to make a fair offer to encourage acceptance, minimizing the risk of rejection while maximizing my own gain."
20,I want to maximize my own gain while still offering a reasonable amount to the other player to increase the chance of acceptance.
20,I want to maximize my own gain while still offering a reasonable amount to the other player to increase the chance of acceptance.
