offer,reason
30,I want to make an offer that is likely to be accepted while still keeping a reasonable amount for myself. Offering a significant portion to the other player encourages acceptance.
40,"I believe a fair offer that provides the other player with a substantial amount will likely be accepted, while still allowing me to keep a decent amount. Therefore, I will offer an equitable split."
30,I want to offer a fair amount to encourage the other player to accept the proposal while still retaining a reasonable sum for myself.
40,I want to make an offer that is fair yet leaves me with a decent amount while maximizing the chances of acceptance.
40,I want to make a reasonable offer that incentivizes the other player to accept while also keeping a fair amount for myself. Offering 40 dollars to the other player and keeping 60 for myself seems like a fair compromise.
40,"I want to make an offer that is fair enough to encourage acceptance, while still allowing me to keep a significant portion for myself. Offering 40 dollars to the other player shows goodwill and increases the likelihood of acceptance."
30,I want to make a fair offer that incentivizes the responder to accept. Offering a reasonable amount will increase the likelihood of acceptance while still allowing me to retain a decent amount.
40,"I believe a fair offer that provides the other player with a substantial amount will likely be accepted, while still allowing me to keep a decent amount. Therefore, I will offer an equitable split."
30,I want to make an offer that is reasonable yet advantageous for myself while still being attractive to the other player so they are likely to accept it.
40,"I believe a fair offer that provides the other player with a substantial amount will likely be accepted, while still allowing me to keep a decent amount. Therefore, I will offer an equitable split."
40,"I want to make a fair offer that incentivizes the other player to accept, while also keeping a reasonable amount for myself."
40,"I believe a fair offer that provides the other player with a substantial amount will likely be accepted, while still allowing me to keep a decent amount. Therefore, I will offer an equitable split."
40,I want to make a fair offer that incentivizes the other player to accept while still allowing me to keep a reasonable amount. Offering 40 dollars to the other player feels like a generous enough sum to encourage acceptance.
40,I want to make a fair offer that incentivizes the other player to accept while still allowing me to keep a reasonable amount. Offering 40 dollars to the other player feels like a generous enough sum to encourage acceptance.
40,I want to make an offer that is fair yet leaves me with a decent amount while maximizing the chances of acceptance.
30,I want to make an offer that is likely to be accepted while still keeping a reasonable amount for myself. Offering a significant portion to the other player encourages acceptance.
40,"I believe a fair offer that provides the other player with a substantial amount will likely be accepted, while still allowing me to keep a decent amount. Therefore, I will offer an equitable split."
30,I want to offer a fair amount to encourage the other player to accept the proposal while still retaining a reasonable sum for myself.
40,"I believe a fair offer that provides the other player with a substantial amount will likely be accepted, while still allowing me to keep a decent amount. Therefore, I will offer an equitable split."
40,"I believe a fair offer that provides the other player with a substantial amount will likely be accepted, while still allowing me to keep a decent amount. Therefore, I will offer an equitable split."
30,I want to make an offer that is likely to be accepted while still keeping a reasonable amount for myself. Offering a significant portion to the other player encourages acceptance.
40,I want to make a fair offer that incentivizes the other player to accept while still allowing me to keep a reasonable amount. Offering 40 dollars to the other player feels like a generous enough sum to encourage acceptance.
40,"I believe a fair offer that provides the other player with a substantial amount will likely be accepted, while still allowing me to keep a decent amount. Therefore, I will offer an equitable split."
30,I want to offer a fair amount to encourage the other player to accept the proposal while still retaining a reasonable sum for myself.
30,I want to make an offer that is likely to be accepted while still keeping a reasonable amount for myself. Offering a significant portion to the other player encourages acceptance.
40,"I believe a fair offer that provides the other player with a substantial amount will likely be accepted, while still allowing me to keep a decent amount. Therefore, I will offer an equitable split."
40,"I believe a fair offer that provides the other player with a substantial amount will likely be accepted, while still allowing me to keep a decent amount. Therefore, I will offer an equitable split."
40,"I want to make a fair offer that the responder is likely to accept, while still keeping a significant portion for myself. Offering $40 to the responder allows me to keep $60, which seems reasonable and should incentivize acceptance."
40,"I believe a fair offer that provides the other player with a substantial amount will likely be accepted, while still allowing me to keep a decent amount. Therefore, I will offer an equitable split."
40,"I believe a fair offer that provides the other player with a substantial amount will likely be accepted, while still allowing me to keep a decent amount. Therefore, I will offer an equitable split."
40,"I believe a fair offer that provides the other player with a substantial amount will likely be accepted, while still allowing me to keep a decent amount. Therefore, I will offer an equitable split."
40,"I believe a fair offer that provides the other player with a substantial amount will likely be accepted, while still allowing me to keep a decent amount. Therefore, I will offer an equitable split."
40,I want to make an offer that is fair yet leaves me with a decent amount while maximizing the chances of acceptance.
40,"I want to propose an amount that is fair enough to encourage acceptance while also keeping a reasonable amount for myself. Offering 40 dollars to the other player seems balanced, as it gives them a considerable share and motivates them to accept the offer."
40,I want to make a fair offer that incentivizes the other player to accept while still allowing me to keep a reasonable amount. Offering 40 dollars to the other player feels like a generous enough sum to encourage acceptance.
40,"I believe a fair offer that provides the other player with a substantial amount will likely be accepted, while still allowing me to keep a decent amount. Therefore, I will offer an equitable split."
30,I want to make an offer that is likely to be accepted while still keeping a reasonable amount for myself. Offering a significant portion to the other player encourages acceptance.
40,"I believe a fair offer that provides the other player with a substantial amount will likely be accepted, while still allowing me to keep a decent amount. Therefore, I will offer an equitable split."
40,I want to make a fair offer that incentivizes the other player to accept while still allowing me to keep a reasonable amount. Offering 40 dollars to the other player feels like a generous enough sum to encourage acceptance.
40,"I want to make an offer that is fair enough to encourage acceptance, while still allowing me to keep a significant portion for myself. Offering 40 dollars to the other player shows goodwill and increases the likelihood of acceptance."
30,I want to make an offer that is likely to be accepted while still keeping a reasonable amount for myself. Offering a significant portion to the other player encourages acceptance.
40,I want to make a fair offer that incentivizes the other player to accept while still allowing me to keep a reasonable amount. Offering 40 dollars to the other player feels like a generous enough sum to encourage acceptance.
30,I want to make an offer that is likely to be accepted while still keeping a reasonable amount for myself. Offering a significant portion to the other player encourages acceptance.
40,"I believe a fair offer that provides the other player with a substantial amount will likely be accepted, while still allowing me to keep a decent amount. Therefore, I will offer an equitable split."
40,"I believe a fair offer that provides the other player with a substantial amount will likely be accepted, while still allowing me to keep a decent amount. Therefore, I will offer an equitable split."
40,"I believe a fair offer that provides the other player with a substantial amount will likely be accepted, while still allowing me to keep a decent amount. Therefore, I will offer an equitable split."
40,I want to make an offer that is fair yet leaves me with a decent amount while maximizing the chances of acceptance.
